NAME                    VERSION      TYPE   
alpine-baselayout       3.6.8-r1     apk     
alpine-baselayout-data  3.6.8-r1     apk     
alpine-keys             2.5-r0       apk     
alpine-release          3.21.3-r0    apk     
apk-tools               2.14.6-r3    apk     
busybox                 1.37.0-r12   apk     
busybox-binsh           1.37.0-r12   apk     
ca-certificates-bundle  20241121-r1  apk     
haproxy                 3.0.10-r0    apk     
libcrypto3              3.3.3-r0     apk     
libssl3                 3.3.3-r0     apk     
lua5.4-libs             5.4.7-r0     apk     
musl                    1.2.5-r9     apk     
musl-utils              1.2.5-r9     apk     
pcre2                   10.43-r0     apk     
scanelf                 1.3.8-r1     apk     
ssl_client              1.37.0-r12   apk     
zlib                    1.3.1-r2     apk     
